STT,Product Name,Description,Image URL,Category,Price (VND),Original Price (VND),Stock,Featured,New
13,Balo Chống Nước 30L,"Balo cuộn miệng chống nước 100%, có phản quang.",https://bikersaigon.net/wp-content/uploads/2023/10/balo-chong-nuoc-motowolf-mdl0714-30l-den-cam.jpg,Túi & Balo,"1,200,000","1,600,000",20,TRUE,FALSE
14,Túi Hít Bình Xăng,"Túi nam châm gắn bình xăng, có ngăn đựng điện thoại.",https://mubaohiemdochanoi.com/wp-content/uploads/2024/04/tui-hit-binh-xang-givi-ea130b-26l-da-nang-13.jpg,Túi & Balo,800,950,12,FALSE,TRUE
15,Túi Treo Hông Đôi,Bộ túi vải treo hai bên hông xe cho các chuyến đi xa.,https://gsports.vn/wp-content/uploads/2023/05/tui-hong-givi-ea101b.jpg,Túi & Balo,"2,500,000","3,000,000",8,TRUE,TRUE
16,Giáp Gối Inox Pro,"Bộ bọc gối và ống chân, vỏ inox chịu va đập mạnh.",https://xeomshop.vn/wp-content/uploads/2020/12/0.jpg,Giáp Bảo Hộ,450,550,35,FALSE,FALSE
17,Áo Giáp Ngực Rời,Giáp bảo vệ ngực và lưng dạng áo ghi-lê nhựa cứng.,https://pos.nvncdn.com/37cd6c-96997/ps/20211228_VivBGDn9EFgmfg3Wyvhoh4M2.jpg?v=1673657083,Giáp Bảo Hộ,"1,800,000","2,200,000",10,TRUE,FALSE
18,Đai Lưng Bảo Vệ,Đai siết lưng hỗ trợ cột sống khi đi đường dài.,https://motowolf.vn/wp-content/uploads/2024/02/dai-lung-chong-moi-motowolf-mdl-1028-den-do-600x600.jpg,Giáp Bảo Hộ,650,800,15,FALSE,TRUE
19,Quần Jean Riding Kevlar,Quần bò thời trang lót sợi Kevlar chống mài mòn.,https://bizweb.dktcdn.net/100/504/473/products/z5218443829207-c65097080d97b9045de558dfb8c21df6-1709634923248.jpg?v=1709634957367,Quần Riding,"2,100,000","2,600,000",18,TRUE,TRUE
20,Quần Giáp Touring Vải,"Quần vải dù nhiều túi, chống nước nhẹ, có giáp gối.",https://mainguyen.sgp1.digitaloceanspaces.com/223309/conversions/quan-giap-vai-chong-nuoc-dainese-tempest-d-dry-1-optimize.jpg,Quần Riding,"3,200,000","3,800,000",7,TRUE,FALSE
21,Quần Da Racing,"Quần da bò ôm sát, có slide chà gối (puck).",https://product.hstatic.net/1000357687/product/mat_truoc_quan_di_rung_ver_3_e8638e9797734be58099717fcf9c857c_master.jpg,Quần Riding,"6,500,000","8,000,000",3,FALSE,TRUE
22,Giá Đỡ Điện Thoại Nhôm,Kẹp điện thoại hợp kim nhôm gắn ghi đông chắc chắn.,https://bikersaigon.net/wp-content/uploads/2023/10/gia-do-dien-thoai-motowolf-mdl-2827D-den-1.jpg,Phụ Kiện,250,350,80,TRUE,FALSE
23,Tai Nghe Bluetooth Intercom,Thiết bị liên lạc gắn mũ bảo hiểm kết nối nhóm.,https://hifa.vn/wp-content/uploads/2024/06/tai-nghe-bluetooth-intercom-scs-s9-3.jpg,Phụ Kiện,"1,500,000","2,000,000",22,TRUE,TRUE
24,Khóa Đĩa Báo Động,Khóa phanh đĩa tích hợp còi hú chống trộm.,https://bizweb.dktcdn.net/100/414/235/products/alarm-01.jpg?v=1624694224813,Phụ Kiện,450,600,45,FALSE,FALSE
